seed,mode,scenario,requests,success_rate,user_facing_connect_failures,primary_connect_attempts,backup_selections,preemptive_failovers,warm_hits,recovery_probes_ok,recovery_probes_fail,background_prewarm_connects,physical_connects,mean_checkout_latency_sim_ms
5,predictive,pattern-shift-h14,90,1.0000,3,17,73,70,70,2,1,69,20,5.389
5,predictive,pattern-shift-h15,90,1.0000,0,0,90,90,90,0,3,90,0,0.000
6,reactive,morning-healthy,100,1.0000,10,90,10,0,0,0,0,0,100,24.500
6,reactive,bad-window,100,1.0000,86,14,86,0,0,0,0,0,100,20.700
6,reactive,evening-stable,80,1.0000,10,70,10,0,0,0,0,0,80,24.375
6,reactive,window-start,181,0.9890,1,79,100,0,0,0,0,0,179,22.403
6,reactive,reuse-off,1000,1.0000,9,991,9,0,0,0,0,0,1000,20.000
6,reactive,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
6,reactive,pattern-shift-h14,90,1.0000,19,71,19,0,0,0,0,0,90,23.944
6,reactive,pattern-shift-h15,90,0.9889,76,15,74,0,0,0,0,0,89,21.056
6,circuit_breaker,morning-healthy,100,1.0000,5,36,64,0,0,0,0,0,100,21.800
6,circuit_breaker,bad-window,100,0.9900,3,0,100,0,0,0,0,0,99,20.200
6,circuit_breaker,evening-stable,80,0.9875,4,27,53,0,0,0,0,0,79,21.938
6,circuit_breaker,window-start,181,1.0000,0,0,181,0,0,0,0,0,181,20.000
6,circuit_breaker,reuse-off,1000,1.0000,9,991,9,0,0,0,0,0,1000,20.000
6,circuit_breaker,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
6,circuit_breaker,pattern-shift-h14,90,0.9889,5,30,60,0,0,0,0,0,89,21.889
6,circuit_breaker,pattern-shift-h15,90,1.0000,2,0,90,0,0,0,0,0,90,20.000
6,predictive,morning-healthy,100,1.0000,5,48,52,47,47,0,2,46,53,13.000
6,predictive,bad-window,100,1.0000,1,0,100,99,99,1,3,98,1,0.200
6,predictive,evening-stable,80,1.0000,2,0,80,78,78,1,2,78,2,0.500
6,predictive,window-start,181,1.0000,0,0,181,181,181,0,0,181,0,0.000
6,predictive,reuse-off,1000,1.0000,9,991,9,0,0,0,0,0,1000,20.000
6,predictive,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
6,predictive,pattern-shift-h14,90,1.0000,3,9,81,78,78,1,2,77,12,3.167
6,predictive,pattern-shift-h15,90,1.0000,0,0,90,90,90,0,3,90,0,0.000
7,reactive,morning-healthy,100,1.0000,19,81,19,0,0,0,0,0,100,24.050
7,reactive,bad-window,100,0.9900,91,10,89,0,0,0,0,0,99,20.700
7,reactive,evening-stable,80,1.0000,15,65,15,0,0,0,0,0,80,24.063
7,reactive,window-start,181,0.9945,0,79,101,0,0,0,0,0,180,22.293
7,reactive,reuse-off,1000,1.0000,8,992,8,0,0,0,0,0,1000,20.000
7,reactive,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
7,reactive,pattern-shift-h14,90,1.0000,11,79,11,0,0,0,0,0,90,24.389
7,reactive,pattern-shift-h15,90,1.0000,75,15,75,0,0,0,0,0,90,20.833
7,circuit_breaker,morning-healthy,100,1.0000,5,24,76,0,0,0,0,0,100,21.200
7,circuit_breaker,bad-window,100,0.9900,7,3,97,0,0,0,0,0,99,20.350
7,circuit_breaker,evening-stable,80,0.9875,6,16,64,0,0,0,0,0,79,21.250
7,circuit_breaker,window-start,181,0.9890,0,0,181,0,0,0,0,0,179,20.221
7,circuit_breaker,reuse-off,1000,1.0000,8,992,8,0,0,0,0,0,1000,20.000
